Sector Code,m3/EUR,median revenue in M.EUR
AG-AG,1.8410,411.3800
AG-AG,2.1890,817.1700
AG-AG,2.3318,959.9800
AG-AG,0.3394,4907.3200
AG-AG,2.0670,510.6200
AG-AG,1.6007,128.7600
AG-AG,0.2076,23.6000
AG-AG,1.9333,163.0400
AG-AG,0.0773,1151.6500
AG-AG,0.0143,1061.8200
AG-AG,0.0045,1164.3400
AG-AG,0.0128,149.3400
AG-AG,0.0050,64.5500
AG-AG,0.0062,1975.3100
AG-AG,0.0109,5.0200
AG-AG,0.0000,0.0200
AG-AG,0.0003,0.0200
AG-FO,0.0064,932.9600
AG-AG,0.0009,551.9500
MP-CO,0.0003,227.6700
MP-OI,0.0003,1427.2700
MP-NG,0.0002,687.9100
MP-OM,0.0004,2.9500
MP-ME,0.0005,10.4700
MP-ME,0.0003,106.4000
MP-ME,0.0002,278.2600
MP-ME,0.0003,5.9700
MP-ME,0.0004,1.7300
MP-ME,0.0005,135.4700
MP-ME,0.0003,158.0300
MP-ME,0.0003,39.6500
MP-OM,0.0003,729.3600
MP-OM,0.0005,1495.1200
MP-OM,0.0039,210.2200
MA-FP,0.0072,1276.7500
MA-FP,0.0096,1258.5800
MA-FP,0.0032,1217.0800
MA-FP,0.0076,302.2600
MA-FP,0.0046,319.4800
MA-FP,0.0120,3243.2300
MA-FP,0.0127,115.5300
MA-FP,0.0071,255.2500
MA-FP,0.0075,12596.4200
MA-FP,0.0051,3234.8200
MA-FP,0.0018,1273.0000
MA-FP,0.0085,1322.2500
MA-TE,0.0046,3467.3200
MA-TE,0.0048,2934.9300
MA-TE,0.0012,1160.4200
MA-PP,0.0004,3423.6900
MA-PP,0.0239,797.2400
MA-PP,0.0266,309.8800
MA-PP,0.0367,409.1800
MA-PP,0.0061,4408.6400
MA-PP,0.0009,6747.4400
MA-IS,0.0008,206.8600
MP-PR,0.0008,14133.3000
US-NU,0.0139,23.6300
MA-CH,0.0120,2709.3700
MA-CH,0.8612,276.1200
MA-CH,0.4040,30.4900
MA-CH,0.0154,396.5300
MA-CH,0.0049,8550.3800
MA-CH,0.0038,7117.3500
MA-GL,0.0030,1115.9200
MA-GL,0.0030,161.5900
MA-OM,0.0107,511.7600
MA-CM,0.0136,223.7900
MA-CE,0.0122,2366.8200
MA-CM,0.0041,171.3600
MA-CM,0.0167,1199.3200
MA-ME,0.0160,3552.3500
MA-ME,0.0042,2759.9700
MA-ME,0.0001,496.6300
MA-ME,0.0066,0.7700
MA-ME,0.0041,1062.6700
MA-ME,0.0061,722.3200
MA-ME,0.0051,451.0400
MA-ME,0.0033,91.1300
MA-ME,0.0010,1787.1200
MA-ME,0.0020,36.3900
MA-ME,0.0004,189.2200
MA-ME,0.0012,2.3800
MA-ME,0.0051,1205.0000
MA-ME,0.0016,13656.8300
MA-MA,0.0006,14194.4100
MA-MA,0.0013,1246.7000
MA-MA,0.0006,9582.1300
MA-MA,0.0006,5876.1600
MA-MA,0.0019,4844.5200
MA-MA,0.0023,17530.6500
MA-MA,0.0028,4189.3400
MA-MA,0.0017,5823.5500
MA-OM,0.0005,623.7000
MA-OM,0.1396,276.4800
US-CO,0.0558,909.8300
US-GA,0.0182,978.9800
US-NU,0.0222,862.9600
US-HY,0.0000,447.6600
US-RE,0.0201,75.8500
US-OI,0.0085,101.1500
US-RE,0.0016,90.2700
US-RE,0.0000,19.3600
US-RE,0.1200,0.0000
US-RE,0.1344,0.0000
US-RE,0.0000,30.3600
US-OU,0.0000,49.6300
US-OU,0.0000,800.4800
US-GA,0.0000,2336.2900
US-GA,0.0001,1190.7900
US-OU,0.0002,214.5800
US-OU,0.0001,234.0900
OI-CO,0.0001,56728.6500
OI-CO,0.0001,133.8500
RE-RE,0.0001,7284.8600
RE-RE,0.0002,568.7100
RE-RE,0.0004,26482.1700
RE-RE,0.0001,14244.0100
OI-OI,0.0000,21999.3600
TR-TR,0.0001,4003.8700
TR-TR,0.0001,15480.1000
TR-TR,0.0000,642.3000
TR-TR,0.0000,4501.2600
TR-TR,0.0000,212.8300
TR-TR,0.0000,5254.9000
TR-TR,0.0000,13057.4400
OI-OI,0.0000,19797.1700
OI-OI,0.0000,19437.2100
OI-OI,0.0000,7859.9200
OI-OI,0.0000,5340.7900
OI-OI,0.0000,33919.7900
OI-OI,0.0000,3602.7800
OI-OI,0.0000,7832.2800
OI-OI,0.0001,2433.7300
OI-OI,0.0001,28768.8300
OI-OI,0.0001,30892.1500
OI-OI,0.0000,23735.7600
OI-OI,0.0001,34931.9200
OI-OI,0.0028,179.7000
OI-OI,0.0011,185.0300
OI-OI,0.0007,135.6100
OI-OI,0.0026,216.5400
OI-OI,0.0023,71.2900
OI-OI,0.0028,92.1200
OI-OI,0.0004,123.6600
US-RE,0.0001,67.5900
US-RE,0.0001,25.1600
US-RE,0.0002,193.6700
OI-OI,0.0007,209.0200
OI-OI,0.0001,6.7500
US-WT,0.0003,161.5300
US-WT,0.0015,285.2700
OI-OI,0.0021,231.8800
OI-OI,0.0021,173.7100
OI-OI,0.0021,36.3000
OI-OI,0.0021,274.6400
OI-OI,0.0021,46.3500
OI-OI,0.0003,51.8100
OI-OI,0.0001,5016.2800
OI-OI,0.0000,9149.4200
OI-OI,0.0001,2812.5200
BS-RE,0.0004,1895.2000
OI-OI,0.0011,0.0500
