,0,revenue
Cultivation of paddy rice,2.492401042,411.3809154589192
Cultivation of wheat,2.19488599278,817.1684568569317
Cultivation of cereal grains nec,2.33180644584,959.9841087389511
"Cultivation of vegetables, fruit, nuts",0.34046284140000005,4907.315925228177
Cultivation of oil seeds,2.066953016,510.62112952487246
"Cultivation of sugar cane, sugar beet",1.6006573350000002,128.7630080971957
Cultivation of plant-based fibers,0.8023407592533852,23.60266488886385
Cultivation of crops nec,1.9333338877700004,163.03917807095797
Cattle farming,0.07728309582350001,1151.6538206838381
Pigs farming,0.014314868000000001,1061.8218802701365
Poultry farming,0.004485887500000001,1164.342886406947
Meat animals nec,0.013271263799999999,149.3395168584966
Animal products nec,0.0050044741000000005,64.55478151154107
Raw milk,0.0063169062,1975.3095268210595
"Wool, silk-worm cocoons",0.007456479748830601,5.022244847217657
"Manure treatment (conventional), storage and land application",,0.021191233486185
"Manure treatment (biogas), storage and land application",,0.021191233486185
"Forestry, logging and related service activities",0.006903692172317927,932.961327333291
"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing",0.000760248181381518,551.9465426986824
Mining of coal and lignite; extraction of peat,0.000216081331,227.66751007691403
"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",0.000285953175,1427.2724307578453
"Extraction of natural gas and services related to natural gas extraction, excluding surveying",0.00044279149999999995,687.913566584323
"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0004829735,2.9486903007254943
Mining of uranium and thorium ores,0.00043191748999999997,10.47248157570702
Mining of iron ores,0.0004756728996931199,106.39733993799321
Mining of copper ores and concentrates,0.00051189100264,278.26275179873767
Mining of nickel ores and concentrates,0.0002539386215,5.970223280764865
Mining of aluminium ores and concentrates,0.00046685863796076604,1.7340382541464998
Mining of precious metal ores and concentrates,0.0030730269155000004,135.46982564205038
"Mining of lead, zinc and tin ores and concentrates",0.00045660624489999994,158.03118855386998
Mining of other non-ferrous metal ores and concentrates,0.0003069802925,39.65211819056783
Quarrying of stone,0.000400923942,729.3636103642395
Quarrying of sand and clay,0.0003039525,1495.1180196811517
"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",0.00045268,210.2156268139306
Processing of meat cattle,0.007846941674999998,1276.7478158157257
Processing of meat pigs,0.0076640239,1258.582777460071
Processing of meat poultry,0.008189769038788,1217.0753309356292
Production of meat products nec,0.002603810702362,302.25846964889934
Processing vegetable oils and fats,0.00756737743,319.481818796113
Processing of dairy products,0.0055837165000000005,3243.2266805738664
Processed rice,0.010214928,115.52853407184051
Sugar refining,0.0132837497005,255.25195175738293
Processing of Food products nec,0.005584979537499998,12596.416013574548
Manufacture of beverages,0.008034619738905,3234.8170207630274
Manufacture of fish products,0.0037195306135739993,1272.999949161869
Manufacture of tobacco products,0.001187542,1322.2471327105193
Manufacture of textiles,0.01035692965,3467.317180226766
Manufacture of wearing apparel; dressing and dyeing of fur,0.00365363207695,2934.934892313003
"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear",0.0052526579999999995,1160.4163898021486
